person_id,entry_index,timestamp,text,latent_burnout_level,true_theme,event_type
P232,1,2020-01-02T00:17:03,Most days I feel vibrant; sometimes I slip into bright before returning to enthused. Energy is uneven and I'm working through minor setbacks.,0.466,liveliness,
P232,2,2020-01-05T16:35:09,Had a meetup with friends and a hangout; it led to coffee. Energy is uneven and I'm working through minor setbacks. Back-to-back demands with no recovery time.,0.508,social_events,
P232,3,2020-01-12T10:56:06,Physically I feel limber; earlier it was jetlagged with some congestion. Pressure is noticeable but still under control. Workload feels manageable and I made good progress.,0.397,physiological_state,
P232,4,2020-01-13T11:25:33,Another frustration means more crunchtime and stress. Burnout is spiking; I can't keep up.,0.545,workload_burnout,
P232,5,2020-01-25T19:56:01,Noticed feverish and episodes of feverish alongside sore. Today felt efficient with minimal distractions. Struggling to concentrate; tasks feel impossible.,0.525,physiological_state,
P232,6,2020-01-29T04:49:48,"We handled monitoring, then database, followed by update. Exhausted and overwhelmed by deadlines.",0.517,technology_tools,
P232,7,2020-01-31T23:55:32,I plan a recharge to finally recover. Workload feels manageable and I made good progress. Burnout is spiking; I can't keep up.,0.406,recovery_holidays,
P232,8,2020-02-03T02:56:10,The treatment led to appointment; monitoring medication. Burnout is spiking; I can't keep up.,0.459,medical_wellbeing,
P232,9,2020-02-06T07:37:31,"Lately my selfview is positive, with moments of included, moving toward satisfied. Energy is uneven and I'm working through minor setbacks.",0.419,social_self_esteem,
P232,10,2020-02-09T19:43:20,Caught traffic; then ferry; finally arrived after tollbooth. Progress is okay but I'm juggling competing priorities.,0.454,commute_transportation,
P232,11,2020-02-12T11:45:11,"Body check: bloated today, dealing with sick and fatigue. Struggling to concentrate; tasks feel impossible. Feeling cynical and detached from work.",0.549,physiological_state,
P232,12,2020-02-27T18:48:15,There was accountability about a new performance in the escalation. Workload feels manageable and I made good progress.,0.422,management_conflict,
P232,13,2020-02-27T22:16:43,Our miscommunication scheduled a accountability after the policy. Team support is strong and communication is clear. Feeling cynical and detached from work.,0.456,management_conflict,
P232,14,2020-02-28T11:08:14,"I practiced baking, tried singing, and explored crochet. Deadlines are stacking up; I'm pacing myself. Mentally drained; motivation is collapsing.",0.463,hobbies_creativity,
P232,15,2020-02-29T18:13:25,I feel chatty and enjoy outgoing; when tired I lean toward companions. Sleep wasn't perfect and focus came in waves. Exhausted and overwhelmed by deadlines.,0.404,sociability,
P232,16,2020-03-11T13:27:11,"Working on blackoutcurtains, avoiding bedtime, aiming for routine. Energy is uneven and I'm working through minor setbacks.",0.451,sleep_recovery,
